#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G725	43714	15502	27528	22395	10768	11627	2571	558497	534822	22453	55002	555446	487395	26600	41451	3051	762	1995	145	149
B00G7KZ	43812	15610	27508	22421	10767	11654	2244	558700	534928	22525	55075	555855	487305	27292	41258	2845	738	1778	161	168
B00G724	43749	15518	27539	22480	10736	11744	2268	558680	534926	22515	55057	555794	487431	27655	40708	2886	715	1846	155	170
B00G7KY	43778	15517	27571	22520	10747	11773	1925	558954	535173	22535	55088	556031	487759	27234	41038	2923	705	1875	150	193
B00G72I	43694	15493	27525	22486	10765	11721	2183	558814	535014	22548	55089	555687	486923	27016	41748	3127	787	2004	141	195
B00G72K	43724	15499	27527	22500	10753	11747	2200	558753	535011	22514	55055	555754	486893	27081	41780	2999	733	1918	173	175
B00G72L	43559	15371	27509	22507	10801	11706	2404	558707	534976	22487	55044	555739	487304	26866	41569	2968	774	1890	139	165
B00G72M	43661	15466	27512	22506	10763	11743	2156	558854	535094	22512	55077	555834	487720	26640	41474	3020	666	2022	150	182
B00G72N	43673	15480	27504	22547	10774	11773	2267	558690	534943	22500	55035	555644	486774	27143	41727	3046	745	1950	154	197
B00G72O	43688	15457	27534	22462	10766	11696	2480	558547	534817	22496	55032	555595	487429	26838	41328	2952	705	1920	160	167
B00G730	43712	15540	27471	22367	10745	11622	2673	558425	534708	22495	55006	555502	487425	27630	40447	2923	696	1896	164	167
B00G72A	43679	15475	27522	22487	10740	11747	2086	558925	535122	22554	55100	555869	487103	26779	41987	3056	756	1975	149	176
B00G72B	43625	15466	27472	22399	10741	11658	2761	558392	534708	22459	55023	555537	487149	26874	41514	2855	827	1705	164	159
B00G72C	43603	15421	27494	22522	10789	11733	2323	558729	534989	22500	55042	555703	486892	27093	41718	3026	775	1938	160	153
B00G72D	43620	15448	27478	22415	10739	11676	2746	558396	534702	22475	55000	555465	486733	26960	41772	2931	785	1823	154	169
